language,wiki_code,iso
Afrikaans,af,afr
Alemannic,als,gsw
Anglo-Saxon,ang,ang
Bavarian,bar,bar
Danish,da,dan
Faroese,fo,fao
Icelandic,is,isl
Ripuarian,ksh,ksh
Luxembourgish,lb,ltz
Limburgish,li,lim
Dutch,nl,nld
Scots,sco,sco
Swedish,sv,swe
Yiddish,yi,yid
Zeelandic,zea,zea
Aragonese,an,arg
Asturian,ast,ast
Catalan,ca,cat
Corsican,co,cos
Emilian-Romagnol,eml,egl
Extremaduran,ext,ext
Franco-Provençal,frp,frp
Friulian,fur,fur
Galician,gl,glg
Latin,la,lat
Ladino,lad,lad
Lombard,lmo,lmo
Mirandese,mwl,mwl
Neapolitan,nap,nap
Norman,nrm,xno
Occitan,oc,oci
Picard,pcd,pcd
Romanian,ro,ron
Romansh,rm,roh
Sardinian,sc,srd
Sicilian,scn,scn
Venetian,vec,vec
Walloon,wa,wln
Belarusian,be,bel
Bulgarian,bg,bul
Bosnian,bs,bos
Czech,cs,ces
Croatian,hr,hrv
Macedonian,mk,mkd
Polish,pl,pol
Russian,ru,rus
Rusyn,rue,rue
Serbo-Croatian,sh,hbs
Slovenian,sl,slv
Serbian,sr,srp
Slovak,sk,slk
Silesian,szl,szl
Ukrainian,uk,ukr
Pangasinan,pag,pag
Kapampangan,pam,pam
Waray,war,war
Khmer,km,khm
Vietnamese,vi,vie
Japanese,ja,jpn
Acehnese,ace,ace
Indonesian,id,ind
Javanese,jv,jav
Malay,ms,msa
Sundanese,su,sun
Hakka,hak,hak
Wu,wuu,wuu
Azerbaijani,az,aze
Bashkir,ba,bak
Chuvash,cv,chv
Gagauz,gag,gag
Kazakh,kk,kaz
Karachay-Balkar,krc,krc
Kirghiz,ky,kir
Sakha,sah,sah
Turkmen,tk,tuk
Turkish,tr,tur
Tatar,tt,tat
Uyghur,ug,uig
Uzbek,uz,uzb
Hebrew,he,heb
Amharic,am,amh
Maltese,mt,mlt
Zazaki,diq,zza
Persian,fa,fas
Gilaki,glk,glk
Mazandarani,mzn,mzn
Ossetian,os,oss
Pashto,ps,pus
Tajik,tg,tgk
Finnish,fi,fin
Estonian,et,est
Komi,kv,kom
Vepsian,vep,vep
Erzya,myv,myv
Assamese,as,asm
Bhojpuri,bh,bho
Bengali,bn,ben
Divehi,dv,div
Konkani,gom,gom
Gujarati,gu,guj
Hindi,hi,hin
Marathi,mr,mar
Nepali,ne,nep
Odia,or,bhf
Maithili,mai,mai
Sanskrit,sa,san
Sindhi,sd,snd
Sinhalese,si,sin
Urdu,ur,urd
Esperanto,eo,epo
Interlingua,ia,ila
Interlingue,ie,ile
Ido,io,ido
Korean,ko,kor
Hungarian,hu,hun
Lithuanian,lt,lit
Latvian,lv,lav
Basque,eu,eus
Kannada,kn,kan
Malayalam,ml,mal
Tamil,ta,tam
Telugu,te,tel
Breton,br,bre
Welsh,cy,cym
Irish,ga,gle
Manx,gv,glv
Armenian,hy,hye
Burmese,my,mya
Greek,el,ell
Georgian,ka,kat
Mingrelian,xmf,xmf
Lao,lo,lao
Thai,th,tha
Lezgian,lez,lez
Malagasy,mg,mlg
Papiamentu,pap,pap
Albanian,sq,sqi
Luganda,lg,lug
Swahili,sw,swa
Tswana,tn,tsn
Tsonga,ts,tso
Yoruba,yo,yor
Quechua,qu,que
Buryat,bxr,bxr
Mongolian,mn,mon
Maori,mi,mri
Samoan,sm,smo
Tongan,to,ton
Nahuatl,nah,nhn
Somali,so,som
Aymara,ay,aym
Guarani,gn,grn
Kabyle,kab,kab
Hausa,ha,hau
Tetum,tet,tet
Wolof,wo,wol
Tulu,tcy,tcy
Kabiye,kbp,kbp