language,wiki_code,iso,direct_iso,
Afrikaans,af,afr,afr,
Alemannic,als,gsw,gsw,Swiss German
Anglo-Saxon,ang,ang,X,
Bavarian,bar,bar,bar,
Danish,da,dan,dan,
Faroese,fo,fao,fao,
Icelandic,is,isl,isl,
Ripuarian,ksh,ksh,ksh,Kolsh
Luxembourgish,lb,ltz,ltz,
Limburgish,li,lim,X,
Dutch,nl,nld,nld,
Scots,sco,sco,X,
Swedish,sv,swe,swe,
Yiddish,yi,yid,ydd,
Zeelandic,zea,zea,zea,
Aragonese,an,arg,X,
Asturian,ast,ast,ast,
Catalan,ca,cat,cat,
Corsican,co,cos,X,
Emilian-Romagnol,eml,egl,egl,
Extremaduran,ext,ext,X,
Franco-Provençal,frp,frp,X,
Friulian,fur,fur,X,
Galician,gl,glg,glg,
Latin,la,lat,X,
Ladino,lad,lad,lad,
Lombard,lmo,lmo,X,
Mirandese,mwl,mwl,X,
Neapolitan,nap,nap,nap,Continental Southern Italian
Norman,nrm,xno,X,
Occitan,oc,oci,oci,
Picard,pcd,pcd,X,
Romanian,ro,ron,ron,
Romansh,rm,roh,roh,
Sardinian,sc,srd,sro,
Sicilian,scn,scn,X,
Venetian,vec,vec,X,
Walloon,wa,wln,X,
Belarusian,be,bel,bel,
Bulgarian,bg,bul,bul,
Bosnian,bs,bos,bos,
Czech,cs,ces,ces,
Croatian,hr,hrv,X,hrv
Macedonian,mk,mkd,mkd,
Polish,pl,pol,pol,
Russian,ru,rus,rus,
Rusyn,rue,rue,X,
Serbo-Croatian,sh,hbs,X,srp
Slovenian,sl,slv,slv,
Serbian,sr,srp,X,
Slovak,sk,slk,slk,
Silesian,szl,szl,X,
Ukrainian,uk,ukr,ukr,
Pangasinan,pag,pag,pag,
Kapampangan,pam,pam,pam,
Waray,war,war,war,
Khmer,km,khm,khm,
Vietnamese,vi,vie,vie,
Japanese,ja,jpn,jpn,
Acehnese,ace,ace,ace,
Indonesian,id,ind,ind,
Javanese,jv,jav,jav,
Malay,ms,msa,X,
Sundanese,su,sun,sun,
Hakka,hak,hak,hak,Hakka Chinese
Wu,wuu,wuu,wu,Wu Chinese
Azerbaijani,az,aze,azb,South Azerbaijani
Bashkir,ba,bak,bak,
Chuvash,cv,chv,chv,
Gagauz,gag,gag,gag,
Kazakh,kk,kaz,kaz,
Karachay-Balkar,krc,krc,krc,
Kirghiz,ky,kir,kir,
Sakha,sah,sah,sah,
Turkmen,tk,tuk,tuk,
Turkish,tr,tur,tur,
Tatar,tt,tat,tat,
Uyghur,ug,uig,uig,
Uzbek,uz,uzb,uzn,Northern Uzbek
Hebrew,he,heb,heb,Modern Hebrew
Amharic,am,amh,amh,
Maltese,mt,mlt,mlt,
Zazaki,diq,zza,X,
Persian,fa,fas,X,Western Farsi? 
Gilaki,glk,glk,glk,
Mazandarani,mzn,mzn,mzn,
Ossetian,os,oss,oss,
Pashto,ps,pus,,
Tajik,tg,tgk,,
Finnish,fi,fin,,
Estonian,et,est,,
Komi,kv,kom,,
Vepsian,vep,vep,,
Erzya,myv,myv,,
Assamese,as,asm,,
Bhojpuri,bh,bho,,
Bengali,bn,ben,,
Divehi,dv,div,,
Konkani,gom,gom,,
Gujarati,gu,guj,,
Hindi,hi,hin,,
Marathi,mr,mar,,
Nepali,ne,nep,,
Odia,or,bhf,,
Maithili,mai,mai,,
Sanskrit,sa,san,,
Sindhi,sd,snd,,
Sinhalese,si,sin,,
Urdu,ur,urd,,
Esperanto,eo,epo,,
Interlingua,ia,ila,,
Interlingue,ie,ile,,
Ido,io,ido,,
Korean,ko,kor,,
Hungarian,hu,hun,,
Lithuanian,lt,lit,,
Latvian,lv,lav,,
Basque,eu,eus,,
Kannada,kn,kan,,
Malayalam,ml,mal,,
Tamil,ta,tam,,
Telugu,te,tel,,
Breton,br,bre,,
Welsh,cy,cym,,
Irish,ga,gle,,
Manx,gv,glv,,
Armenian,hy,hye,,
Burmese,my,mya,,
Greek,el,ell,,
Georgian,ka,kat,,
Mingrelian,xmf,xmf,,
Lao,lo,lao,,
Thai,th,tha,,
Lezgian,lez,lez,,
Malagasy,mg,mlg,,
Papiamentu,pap,pap,,
Albanian,sq,sqi,,
Luganda,lg,lug,,
Swahili,sw,swa,,
Tswana,tn,tsn,,
Tsonga,ts,tso,,
Yoruba,yo,yor,,
Quechua,qu,que,,
Buryat,bxr,bxr,,
Mongolian,mn,mon,,
Maori,mi,mri,,
Samoan,sm,smo,,
Tongan,to,ton,,
Nahuatl,nah,nhn,,
Somali,so,som,,
Aymara,ay,aym,,
Guarani,gn,grn,,
Kabyle,kab,kab,,
Hausa,ha,hau,,
Tetum,tet,tet,,
Wolof,wo,wol,,
Tulu,tcy,tcy,,
Kabiye,kbp,kbp,,